id,title,description,availability,condition,price,link,image_link,brand,product_type
SA-12x50,Sidi Ali pack 12x50cl,Eau minérale naturelle plate 12x50cl | Vendu par pack de 12,in stock,new,42.00 MAD,https://oulmes.ma/produit/SA-12x50,https://oulmes.ma/images/SA-12x50.jpg,Sidi Ali,Eau plate > Sidi Ali
SA-4x2L,Sidi Ali pack 4x2L,Eau minérale naturelle plate 4x2L | Vendu par pack de 4,in stock,new,24.00 MAD,https://oulmes.ma/produit/SA-4x2L,https://oulmes.ma/images/SA-4x2L.jpg,Sidi Ali,Eau plate > Sidi Ali
SA-6x150,"Sidi Ali pack 6x1,5L","Eau minérale naturelle plate 6x1,5L | Vendu par pack de 6",in stock,new,33.00 MAD,https://oulmes.ma/produit/SA-6x150,https://oulmes.ma/images/SA-6x150.jpg,Sidi Ali,Eau plate > Sidi Ali
SA-6x1L,Sidi Ali pack 6x1L,Eau minérale naturelle plate 6x1L | Vendu par pack de 6,in stock,new,27.00 MAD,https://oulmes.ma/produit/SA-6x1L,https://oulmes.ma/images/SA-6x1L.jpg,Sidi Ali,Eau plate > Sidi Ali
VIT-FONTAINE,Fontaine à eau Vitalya,Fontaine à eau Vitalya | Vendu par unité de 1,in stock,new,1390.00 MAD,https://oulmes.ma/produit/VIT-FONTAINE,https://oulmes.ma/images/VIT-FONTAINE.jpg,Vitalya,Bonbonne & Fontaine > Vitalya
VIT-ALC-12x50,Vitalya alcaline pack 12x50cl,Eau alcaline enrichie 12x50cl | Vendu par pack de 12,in stock,new,48.00 MAD,https://oulmes.ma/produit/VIT-ALC-12x50,https://oulmes.ma/images/VIT-ALC-12x50.jpg,Vitalya,Eau fonctionnelle > Vitalya
VIT-BON-AC,"Vitalya bonbonne 18,9L avec consignation","Bonbonne Vitalya 18,9L avec consignation | Vendu par unité de 1",in stock,new,65.00 MAD,https://oulmes.ma/produit/VIT-BON-AC,https://oulmes.ma/images/VIT-BON-AC.jpg,Vitalya,Bonbonne & Fontaine > Vitalya
VIT-BON-SC,"Vitalya bonbonne 18,9L sans consignation","Bonbonne Vitalya 18,9L sans consignation | Vendu par unité de 1",in stock,new,45.00 MAD,https://oulmes.ma/produit/VIT-BON-SC,https://oulmes.ma/images/VIT-BON-SC.jpg,Vitalya,Bonbonne & Fontaine > Vitalya
VIT-BOOST-12x50,Vitalya boost pack 12x50cl,Eau boost enrichie 12x50cl | Vendu par pack de 12,in stock,new,48.00 MAD,https://oulmes.ma/produit/VIT-BOOST-12x50,https://oulmes.ma/images/VIT-BOOST-12x50.jpg,Vitalya,Eau fonctionnelle > Vitalya
VIT-12x33,Vitalya pack 12x33cl,Eau minérale enrichie 12x33cl | Vendu par pack de 12,in stock,new,24.00 MAD,https://oulmes.ma/produit/VIT-12x33,https://oulmes.ma/images/VIT-12x33.jpg,Vitalya,Eau plate > Vitalya
VIT-12x50,Vitalya pack 12x50cl,Eau minérale enrichie 12x50cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/VIT-12x50,https://oulmes.ma/images/VIT-12x50.jpg,Vitalya,Eau plate > Vitalya
VIT-2x5L,Vitalya pack 2x5L,Eau minérale enrichie 2x5L | Vendu par pack de 2,in stock,new,26.00 MAD,https://oulmes.ma/produit/VIT-2x5L,https://oulmes.ma/images/VIT-2x5L.jpg,Vitalya,Eau plate > Vitalya
VIT-4x2L,Vitalya pack 4x2L,Eau minérale enrichie 4x2L | Vendu par pack de 4,in stock,new,24.00 MAD,https://oulmes.ma/produit/VIT-4x2L,https://oulmes.ma/images/VIT-4x2L.jpg,Vitalya,Eau plate > Vitalya
VIT-6x150,"Vitalya pack 6x1,5L","Eau minérale enrichie 6x1,5L | Vendu par pack de 6",in stock,new,30.00 MAD,https://oulmes.ma/produit/VIT-6x150,https://oulmes.ma/images/VIT-6x150.jpg,Vitalya,Eau plate > Vitalya
